법정동코드,법정동명,폐지여부
1156011600,서울특별시 영등포구 당산동6가,존재
1156011700,서울특별시 영등포구 당산동,존재
1156011800,서울특별시 영등포구 도림동,존재
1156011900,서울특별시 영등포구 문래동1가,존재
1156012000,서울특별시 영등포구 문래동2가,존재
1156012100,서울특별시 영등포구 문래동3가,존재
1156012200,서울특별시 영등포구 문래동4가,존재
1156012300,서울특별시 영등포구 문래동5가,존재
1156012400,서울특별시 영등포구 문래동6가,존재
1156012500,서울특별시 영등포구 양평동1가,존재
1156012600,서울특별시 영등포구 양평동2가,존재
1156012700,서울특별시 영등포구 양평동3가,존재
1156012800,서울특별시 영등포구 양평동4가,존재
1156012900,서울특별시 영등포구 양평동5가,존재
1156013000,서울특별시 영등포구 양평동6가,존재
1156013100,서울특별시 영등포구 양화동,존재
1156013200,서울특별시 영등포구 신길동,존재
1156013300,서울특별시 영등포구 대림동,존재
1156013400,서울특별시 영등포구 양평동,존재
1159000000,서울특별시 동작구,존재
1159010100,서울특별시 동작구 노량진동,존재
1159010200,서울특별시 동작구 상도동,존재
1159010300,서울특별시 동작구 상도1동,존재
1159010400,서울특별시 동작구 본동,존재
1159010500,서울특별시 동작구 흑석동,존재
1159010600,서울특별시 동작구 동작동,존재
1159010700,서울특별시 동작구 사당동,존재
1159010800,서울특별시 동작구 대방동,존재
1159010900,서울특별시 동작구 신대방동,존재
1162000000,서울특별시 관악구,존재
1162010100,서울특별시 관악구 봉천동,존재
1162010200,서울특별시 관악구 신림동,존재
1162010300,서울특별시 관악구 남현동,존재
1165000000,서울특별시 서초구,존재
1165010100,서울특별시 서초구 방배동,존재
1165010200,서울특별시 서초구 양재동,존재
1165010300,서울특별시 서초구 우면동,존재
1165010400,서울특별시 서초구 원지동,존재
1165010600,서울특별시 서초구 잠원동,존재
1165010700,서울특별시 서초구 반포동,존재
1165010800,서울특별시 서초구 서초동,존재
1165010900,서울특별시 서초구 내곡동,존재
1165011000,서울특별시 서초구 염곡동,존재
1165011100,서울특별시 서초구 신원동,존재
1168000000,서울특별시 강남구,존재
1168010100,서울특별시 강남구 역삼동,존재
1168010300,서울특별시 강남구 개포동,존재
1168010400,서울특별시 강남구 청담동,존재
1168010500,서울특별시 강남구 삼성동,존재
1168010600,서울특별시 강남구 대치동,존재
1168010700,서울특별시 강남구 신사동,존재
1168010800,서울특별시 강남구 논현동,존재
1168011000,서울특별시 강남구 압구정동,존재
1168011100,서울특별시 강남구 세곡동,존재
1168011200,서울특별시 강남구 자곡동,존재
1168011300,서울특별시 강남구 율현동,존재
1168011400,서울특별시 강남구 일원동,존재
1168011500,서울특별시 강남구 수서동,존재
1168011800,서울특별시 강남구 도곡동,존재
1171000000,서울특별시 송파구,존재
1171010100,서울특별시 송파구 잠실동,존재
1171010200,서울특별시 송파구 신천동,존재
1171010300,서울특별시 송파구 풍납동,존재
1171010400,서울특별시 송파구 송파동,존재
1171010500,서울특별시 송파구 석촌동,존재
1171010600,서울특별시 송파구 삼전동,존재
1171010700,서울특별시 송파구 가락동,존재
1171010800,서울특별시 송파구 문정동,존재
1171010900,서울특별시 송파구 장지동,존재
1171011100,서울특별시 송파구 방이동,존재
1171011200,서울특별시 송파구 오금동,존재
1171011300,서울특별시 송파구 거여동,존재
1171011400,서울특별시 송파구 마천동,존재
1174000000,서울특별시 강동구,존재
1174010100,서울특별시 강동구 명일동,존재
1174010200,서울특별시 강동구 고덕동,존재
1174010300,서울특별시 강동구 상일동,존재
1174010500,서울특별시 강동구 길동,존재
1174010600,서울특별시 강동구 둔촌동,존재
1174010700,서울특별시 강동구 암사동,존재
1174010800,서울특별시 강동구 성내동,존재
1174010900,서울특별시 강동구 천호동,존재
1174011000,서울특별시 강동구 강일동,존재
4100000000,경기도,존재
4111000000,경기도 수원시,존재
4111100000,경기도 수원시 장안구,존재
4111112900,경기도 수원시 장안구 파장동,존재
4111113000,경기도 수원시 장안구 정자동,존재
4111113100,경기도 수원시 장안구 이목동,존재
4111113200,경기도 수원시 장안구 율전동,존재
4111113300,경기도 수원시 장안구 천천동,존재
4111113400,경기도 수원시 장안구 영화동,존재
4111113500,경기도 수원시 장안구 송죽동,존재
4111113600,경기도 수원시 장안구 조원동,존재
4111113700,경기도 수원시 장안구 연무동,존재
4111113800,경기도 수원시 장안구 상광교동,존재
4111113900,경기도 수원시 장안구 하광교동,존재
4111300000,경기도 수원시 권선구,존재
4111312600,경기도 수원시 권선구 세류동,존재
4111312700,경기도 수원시 권선구 평동,존재
4111312800,경기도 수원시 권선구 고색동,존재
4111312900,경기도 수원시 권선구 오목천동,존재
4111313000,경기도 수원시 권선구 평리동,존재
4111313100,경기도 수원시 권선구 서둔동,존재
4111313200,경기도 수원시 권선구 구운동,존재
4111313300,경기도 수원시 권선구 탑동,존재
4111313400,경기도 수원시 권선구 금곡동,존재
4111313500,경기도 수원시 권선구 호매실동,존재
4111313600,경기도 수원시 권선구 곡반정동,존재
4111313700,경기도 수원시 권선구 권선동,존재
4111313800,경기도 수원시 권선구 장지동,존재
4111313900,경기도 수원시 권선구 대황교동,존재
4111314000,경기도 수원시 권선구 입북동,존재
4111314100,경기도 수원시 권선구 당수동,존재
4111500000,경기도 수원시 팔달구,존재
4111512000,경기도 수원시 팔달구 팔달로1가,존재
4111512100,경기도 수원시 팔달구 팔달로2가,존재
4111512200,경기도 수원시 팔달구 팔달로3가,존재
4111512300,경기도 수원시 팔달구 남창동,존재
4111512400,경기도 수원시 팔달구 영동,존재
4111512500,경기도 수원시 팔달구 중동,존재
4111512600,경기도 수원시 팔달구 구천동,존재
4111512700,경기도 수원시 팔달구 남수동,존재
4111512800,경기도 수원시 팔달구 매향동,존재
4111512900,경기도 수원시 팔달구 북수동,존재
4111513000,경기도 수원시 팔달구 신풍동,존재
4111513100,경기도 수원시 팔달구 장안동,존재
4111513200,경기도 수원시 팔달구 교동,존재
4111513300,경기도 수원시 팔달구 매교동,존재
4111513400,경기도 수원시 팔달구 매산로1가,존재
4111513500,경기도 수원시 팔달구 매산로2가,존재
4111513600,경기도 수원시 팔달구 매산로3가,존재
4111513700,경기도 수원시 팔달구 고등동,존재
4111513800,경기도 수원시 팔달구 화서동,존재
4111513900,경기도 수원시 팔달구 지동,존재
4111514000,경기도 수원시 팔달구 우만동,존재
4111514100,경기도 수원시 팔달구 인계동,존재
4111700000,경기도 수원시 영통구,존재
4111710100,경기도 수원시 영통구 매탄동,존재
4111710200,경기도 수원시 영통구 원천동,존재
4111710300,경기도 수원시 영통구 이의동,존재
4111710400,경기도 수원시 영통구 하동,존재
4111710500,경기도 수원시 영통구 영통동,존재
4111710600,경기도 수원시 영통구 신동,존재
4111710700,경기도 수원시 영통구 망포동,존재
4113000000,경기도 성남시,존재
4113100000,경기도 성남시 수정구,존재
4113110100,경기도 성남시 수정구 신흥동,존재
4113110200,경기도 성남시 수정구 태평동,존재
4113110300,경기도 성남시 수정구 수진동,존재
4113110400,경기도 성남시 수정구 단대동,존재
4113110500,경기도 성남시 수정구 산성동,존재
4113110600,경기도 성남시 수정구 양지동,존재
4113110700,경기도 성남시 수정구 복정동,존재
4113110800,경기도 성남시 수정구 창곡동,존재
4113110900,경기도 성남시 수정구 신촌동,존재
4113111000,경기도 성남시 수정구 오야동,존재
4113111100,경기도 성남시 수정구 심곡동,존재
4113111200,경기도 성남시 수정구 고등동,존재
4113111300,경기도 성남시 수정구 상적동,존재
4113111400,경기도 성남시 수정구 둔전동,존재
4113111500,경기도 성남시 수정구 시흥동,존재
4113111600,경기도 성남시 수정구 금토동,존재
4113111700,경기도 성남시 수정구 사송동,존재
4113300000,경기도 성남시 중원구,존재
4113310100,경기도 성남시 중원구 성남동,존재
4113310300,경기도 성남시 중원구 금광동,존재
4113310400,경기도 성남시 중원구 은행동,존재
4113310500,경기도 성남시 중원구 상대원동,존재
4113310600,경기도 성남시 중원구 여수동,존재
4113310700,경기도 성남시 중원구 도촌동,존재
4113310800,경기도 성남시 중원구 갈현동,존재
4113310900,경기도 성남시 중원구 하대원동,존재
4113313200,경기도 성남시 중원구 중앙동,존재
4113500000,경기도 성남시 분당구,존재
4113510100,경기도 성남시 분당구 분당동,존재
4113510200,경기도 성남시 분당구 수내동,존재
4113510300,경기도 성남시 분당구 정자동,존재
4113510400,경기도 성남시 분당구 율동,존재
4113510500,경기도 성남시 분당구 서현동,존재
4113510600,경기도 성남시 분당구 이매동,존재
4113510700,경기도 성남시 분당구 야탑동,존재
4113510800,경기도 성남시 분당구 판교동,존재
4113510900,경기도 성남시 분당구 삼평동,존재
4113511000,경기도 성남시 분당구 백현동,존재
4113511100,경기도 성남시 분당구 금곡동,존재
4113511200,경기도 성남시 분당구 궁내동,존재
4113511300,경기도 성남시 분당구 동원동,존재
4113511400,경기도 성남시 분당구 구미동,존재
4113511500,경기도 성남시 분당구 운중동,존재
4113511600,경기도 성남시 분당구 대장동,존재
4113511700,경기도 성남시 분당구 석운동,존재
4113511800,경기도 성남시 분당구 하산운동,존재
4115000000,경기도 의정부시,존재
4115010100,경기도 의정부시 의정부동,존재
4115010200,경기도 의정부시 호원동,존재
4115010300,경기도 의정부시 장암동,존재
4115010400,경기도 의정부시 신곡동,존재
4115010500,경기도 의정부시 용현동,존재
4115010600,경기도 의정부시 민락동,존재
4115010700,경기도 의정부시 낙양동,존재
